time,cpu,mem,diskRand,diskSeq
1574616841,858.79,2703.02,1227.61,1864.48
1574618641,850.40,2697.37,1085.39,1637.14
1574620441,861.74,2671.61,1492.68,2139.73
1574622241,854.03,2683.77,1110.91,1428.61
1574624041,855.26,2691.91,1339.39,1875.81
1574625841,854.84,2689.89,1255.93,1485.80
1574627641,858.81,2692.12,1392.71,2195.18
1574629442,849.87,2691.52,1068.24,1387.06
1574631241,854.43,2682.02,1258.26,2010.24
1574633041,857.05,2688.18,1180.98,1778.82
1574634841,857.60,2691.32,1393.66,2010.38
1574636641,849.46,2693.45,1171.89,1686.95
1574638441,850.81,2693.62,1479.39,2278.42
1574640241,856.15,2690.72,1239.32,1625.68
1574642041,855.90,2688.09,1240.57,1921.51
1574643841,852.16,2683.29,1205.39,1967.14
1574645641,854.25,2689.55,1268.15,1480.59
1574647441,854.55,2686.85,1119.23,1597.48
1574649242,857.62,2683.37,1132.26,1426.50
1574651041,848.31,2679.50,1207.36,1738.13
1574652841,852.87,2691.20,1282.42,1619.62
1574654641,842.26,2691.53,1243.13,1823.13
1574656441,856.63,2696.12,1169.33,1528.44
1574658241,842.55,2696.39,1045.84,1674.36
1574660041,858.58,2688.82,1224.53,1449.91
1574661841,841.65,2694.11,1219.08,1547.59
1574663641,855.09,2690.36,1228.07,2019.02
1574665441,846.05,2711.74,1232.73,1275.85
1574667241,852.91,2688.73,1206.76,1646.15
1574669041,845.86,2692.46,1124.93,1508.26
1574670841,855.17,2684.31,1595.26,2195.16
1574672641,841.61,2681.73,1292.63,1468.56
1574674441,850.93,2678.92,1593.89,2219.79
1574676242,839.66,2689.47,1193.31,1859.37
1574678041,857.92,2685.33,1500.91,1799.71
1574679841,825.32,2689.56,1284.92,1574.87
1574681641,856.62,2683.48,1336.97,1978.56
1574683441,851.02,2692.66,1104.69,1433.88
1574685241,859.98,2683.38,1225.17,1869.24
1574687041,840.42,2690.77,1180.65,1288.99
1574688841,857.91,2688.60,1212.66,1774.20
1574690641,840.36,2704.35,1187.98,1569.72
1574692441,852.32,2693.83,1338.46,1808.38
1574694241,849.73,2685.02,1218.73,1856.79
1574696042,858.04,2692.99,1497.06,2272.37
1574697841,848.00,2683.52,1235.46,1889.04
1574699641,857.47,2690.39,1274.36,1620.22
1574701441,851.70,2685.61,1134.13,1541.64
1574703241,859.46,2690.89,1238.79,1750.47
1574705041,850.63,2692.33,1327.80,1708.81
1574706841,860.07,2684.65,1227.73,1631.49
1574708641,824.57,2693.83,1169.79,1647.77
1574710441,859.49,2690.27,1109.64,1498.28
1574712241,845.84,2699.86,1069.25,1370.04
1574714041,855.89,2686.33,1175.90,1637.35
1574715841,856.93,2687.93,1160.24,1786.38
1574717641,857.10,2692.63,1188.11,1844.13
1574719441,855.39,2693.44,1236.81,1585.33
1574721241,851.41,2659.38,1302.46,1652.12
1574723041,846.28,2698.02,1196.42,1710.94
1574724841,854.37,2532.23,1308.02,1743.95
1574726641,841.24,2689.98,1271.52,1472.46
1574728441,858.44,2691.52,1327.65,1668.60
1574730241,858.68,2698.88,1205.59,2049.86
1574732041,849.52,2697.30,1212.50,1895.20
1574733841,860.36,2693.89,1309.16,1867.74
1574735641,859.48,2676.93,1279.85,1544.65
1574737442,848.69,2697.31,1171.27,1267.03
1574739241,854.64,2687.80,1137.25,1258.62
1574741041,855.94,2688.73,1248.30,1415.03
1574742841,853.95,2689.72,1238.54,1687.61
1574744641,844.84,2690.92,1330.00,2105.66
1574746441,858.21,2691.53,1166.69,1745.88
1574748241,845.33,2685.95,1294.40,1941.83
1574750041,862.28,2688.26,1234.84,1676.10
1574751841,857.37,2708.52,1226.16,1955.21
1574753641,859.24,2711.77,1026.51,1356.40
1574755441,861.40,2709.04,1313.70,1692.88
1574757242,862.08,2623.37,1383.51,2001.85
1574759041,847.89,2690.65,1310.97,1779.46
1574760841,861.08,2699.84,1154.35,1595.85
1574762641,854.66,2688.21,1370.96,1803.70
1574764441,861.41,2695.03,1327.00,1365.53
1574766241,857.09,2687.84,1061.00,1444.66
1574768041,862.08,2694.41,1303.72,1377.20
1574769841,852.90,2693.37,1127.96,1474.00
1574771641,862.25,2688.09,1124.25,1713.57
1574773441,847.35,2681.91,1106.82,1518.34
1574775241,858.89,2692.01,1115.41,1300.34
1574777041,855.10,2697.58,1158.40,1762.42
1574778842,855.28,2691.68,1217.77,1641.09
1574780641,852.45,2693.37,1299.27,1546.62
1574782441,853.15,2661.13,1171.72,1684.15
1574784241,836.17,2692.79,1210.01,1984.94
1574786041,855.63,2703.72,1164.94,1677.09
1574787841,857.40,2693.46,1293.34,1611.48
1574789641,854.54,2694.93,1149.31,1932.29
1574791441,853.00,2694.36,1339.11,1574.87
1574793241,851.75,2688.10,1290.88,1471.07
1574795041,844.70,2695.91,1179.18,1725.93
1574796841,852.52,2682.60,1202.52,1645.40
