time,cpu,mem,diskRand,diskSeq,fork,uplink
1576689974,1591.53,795969.12,491.67,166.52,19218,11.8
1576690400,1591.83,836399.32,486.3,175.88,19200,10.8
1576690828,1588.27,826435.26,492.6,170.67,19127,11.3
1576691257,1572.23,853267.07,491.09,168.22,19027,10.9
1576691688,1633.18,786986.94,483.29,169.18,19478,11.1
1576692114,1606.30,814036.07,488.87,164.74,18968,11.9
1576692544,1606.33,815242.91,490.69,171.44,18992,10.3
1576692971,1598.84,871761.26,484.59,170.54,19156,11.5
1576693395,1572.72,816379.86,491.46,175.57,19263,11.1
1576693830,1644.37,855499.22,495.95,163.26,19053,11.0
