time,cpu,mem,diskRand,diskSeq,fork,uplink
1576693841,334.86,54383.16,885.22,779.78,308,10.3
1576690828,329.24,45720.81,847.61,750.44,303,10.2
1576691264,331.92,43884.43,838.36,766.20,305,10.6
1576691700,328.56,46719.63,873.67,761.14,306,10.4
1576692113,337.17,47901.61,857.76,770.67,306,10.6
1576692551,327.15,53017.82,888.67,779.17,303,10.8
1576692968,301.09,55571.01,859.01,758.15,309,10.2
1576693404,337.62,49815.86,845.69,763.74,310,10.1
1576693838,340.81,52075.11,893.57,783.44,301,10.5
1576694259,310.7,51455.73,840.18,789.19,305,10.7
