time,cpu,mem,diskRand,diskSeq,fork,uplink
1576696360,1558.78,820123.09,433.35,94.78,18308,11.7
1576696388,1499.05,812353.82,460.45,127.66,18089,11.5
1576696416,1558.23,816739.16,486.80,463.3,17528,11.8
1576696449,1598.55,816573.48,480.73,301.16,18165,11.6
1576696476,1563.23,820572.67,467.99,209.63,18311,11.8
1576696504,1510.21,817492.11,486.58,226.94,17851,11.7
1576696531,1573.06,819265.45,420.68,382.18,17989,11.3
1576696563,1587.79,820095.56,469.16,218.64,17667,11.9
1576696591,1534.56,812561.19,472.59,174.15,18041,11.8
1576696624,1600.87,826324.22,475.81,294.11,18157,11.6
