time,cpu,mem,diskRand,diskSeq,fork,uplink
1576694274,1552.46,234547.08,5232.45,4504.23,17306,10.30
1576694502,1543.82,231659.95,5229.09,4539.06,17484,9.72
1576694735,1511.07,223697.61,5183.91,4501.02,16074,9.91
1576694963,1559.28,226795.71,5278.87,4581.57,16593,10.01
1576695194,1585.84,235967.74,5375.92,4472.68,17953,10.26
1576695428,1753.92,248633.68,5407.17,4518.69,17121,10.66
1576695657,1732.57,228593.75,5290.15,4511.92,17134,10.31
1576695883,1552.99,237565.02,5395.74,4598.11,17299,9.89
1576696115,1567.89,247733.75,5381.41,4516.82,17562,9.99
1576696344,1669.28,239673.46,5315.26,4586.17,16998,10.15
